Alimento,Medida usual,g ou ml,CHO (g),"Calorias (kcal)"
Abacate (picado),colher de sopa cheia,45,3,79
Abacaxi,fatia média,75,10,44
Abacaxi em calda,fatia média,64,19,78
"Abacaxi, polpa, congelada",unidade,100,8,31
Abadejo assado,filé médio,100,0,112
Abaráv,unidade média,170,24,414
Abiu cru,unidade,100,15,62
"Abobora cabotian, cozida",colher de sopa,36,3,14
"Abobora Cabotian, crua",colher de sopa,36,4,17
Abóbora d’água (picada),colher de sopa cheia,36,0,10
Abóbora doce (picada),colher de sopa cheia,36,4,18
Abóbora moranga (picada),colher de sopa cheia,36,1,7
Abobrinha recheada,unidade,100,6,89
"Abobrinha, italiana, cozida",colher de sopa,20,0,3
"Abobrinha, italiana, crua",colher de sopa,20,1,4
"Abobrinha, paulista, crua",colher de sopa,20,2,6
Abricó-do-pará,fatia média,100,13,64
Açafrão em pó,colher de sopa cheia,16,12,54
Açai natural Frooty ®,6 colheres de sopa rasas,60,13,62
Açaí (polpa) com xarope de guarana e glicose,taça pequena,100,21,110
Açaí polpa congelada,unidade,100,6,58
"Açaí, suco de",copo duplo cheio,240,72,438
Acarajé,unidade média,100,22,282
Acelga (picada),colher de sopa cheia,6,0,2
Acém magro cozido,pedaço médio,100,0,215
Acerola,unidade,12,1,4
Achocolatado Diet Gold ®,colher de sopa,9,6,35
Achocolatado Diet Linea ®,colher de sopa,12,5,30
Açúcar branco refinado,colher de sopa cheia,30,30,116
Açúcar cristal,colher de sopa cheia,24,24,96
Açúcar mascavo,colher de sopa cheia,19,17,70
Agrião (picado),colher de sopa cheia,7,0,2
Agriao refogado,colher de sopa cheia,25,1,19
Água-de-coco verde,copo duplo,240,10,43
Aipim cozido,pedaço médio,100,29,120
Aipo inteiro (picado),colher de sopa cheia,10,0,2
Alcachofra,pedaco médio,20,1,6
Alcaparra,colher de sopa cheia,27,1,10
"Alface, americana, crua",folha média,10,0,1
"Alface, crespa, crua",folha média,10,0,1
"Alface, lisa, crua",folha média,10,0,1
"Alface, lisa, crua",folha média,10,0,1
"Alface, roxa, crua",folha média,10,0,1
"Alface, roxa, crua",folha média,10,0,1
Alfajor ao leite Cacau Show®,unidade,40,23,120
Alfajor® recheado com doce de leite,unidade,25,15,98
Alfavaca crua,folha média,10,0,3
Algodão Doce,unidade,30,30,116
"Alho, cru",2 dentes,10,3,11
Alho-poró cru,porcao pequena,20,3,11
Ambrosia,2 colheres de sopa cheias,80,33,207
Ameixa de queijo,unidade,12,7,36
Ameixa em calda,01 unidade média,7,5,20
Ameixa preta fresca,unidade media,42,4,18
Amêndoa,01 unidade média,3,1,13
Amendoim caramelizado,pacote pequeno,20,14,95
Amendoim cozido,2 colheres de sopa,34,7,108
"Amendoim, grão, cru",2 colheres de sopa,34,5,194
"Amendoim, torrado, salgado",2 colheres de sopa,34,5,194
Amido de arroz,colher de sopa cheia,20,17,70
Amido de milho,colher de sopa cheia,20,17,69
"Amora (branca, preta e vermelha)",unidade média,8,1,5
"Amora, geléia de",colher de sopa cheia,40,23,93
Angu,colher de sopa cheia,35,9,44
Angus bacon (Mc’Donalds®),unidade,,57,861
Angus DeLuxe (Mc’Donalds®),unidade,,56,863
Antepasto abobrinha escabeche,colher de sopa cheia,30,4,57
Antepasto alichella,colher de sopa cheia,30,1,106
Antepasto berinjela,colher de sopa cheia,30,4,88
Antepasto sardella,colher de sopa cheia,30,5,160
Apfelstrudell (folheado de maçã),porção grande,220,59,396
Apresuntado,fatia média,15,0,69
Arroz à grega,colher de servir,60,18,75
Arroz à grega,01 colher de sopa cheia,25,7,35
Arroz branco cozido,colher de sopa cheia,20,5,26
Arroz branco cozido,colher de servir arroz,45,13,58
Arroz carreteiro,colher de servir,45,5,70
Arroz com amendoas,colher de servir,60,18,75
Arroz com lentilha,colher de servir arroz,45,12,71
Arroz com lingüiça,3 colheres de arroz cheias,180,36,349
Arroz com pequi,3 colheres de arroz cheias,180,50,292
Arroz integral cozido,colher de sopa cheia,20,5,25
Arroz selvagem Tio João®,porção,50,35,170
Arroz sírio,colher de servir arroz,45,13,69
"Arroz, farinha de",colher de sopa cheia,17,14,62
"Arroz, flocos de",colher de sopa cheia,14,11,49
Arroz-doce,colher de sopa cheia,40,13,66
Aspargo em conserva,unidade média,7,0,2
Ataif,porção,100,13,124
Atum em água,colher de sopa cheia,16,0,45
Aveia em flocos crua,colher de sopa cheia,15,10,56
"Aveia, farinha de (crua)",colher de sopa cheia,18,12,71
"Aveia, flocos cozidos de",colher de sopa cheia,15,2,9
Avelã,unidade média,1,0,6
Azeite de dendê industrializado,colher de sopa cheia,8,0,71
Azeite de oliva (extra),colher de sopa cheia,8,0,72
Azeitona preta (parte comest.),unidade média,3,0,7
Azeitona verde (parte comest.),unidade média,4,0,12
Baba de moça,colher de sopa cheia,30,27,150
Babaganuche,1 porção,100,6,84
Bacalhoada,colher de sopa,30,2,51
Bacallhau cozido,escumadeira média,60,0,88
Bacon,fatia média,15,0,99
Bacon (Baked Potato®),concha,20,0,92
Bacuri,polpa de 1 fruto médio,90,0,870
Baguete congelada Qualita®,unidade pequena,50,25,124
Baião de dois,escumadeira cheia,100,20,136
Bala de banana,3 unidades,50,12,46
Bala de caramelo Embare®,unidade,6,5,27
Bala de coco (industrializada),unidade,5,5,20
Bala de coco (industrializada) Junco®,unidade,5,5,20
Bala de goma,unidade,3,3,11
Bala de mel Arcor®,unidade,6,6,22
Bala Delícia®,unidade,5,4,20
Bala Halls®,unidade,3,3,13
Bala Jujuba,unidade,3,3,12
Bala macia,unidade,5,5,20
Bala Toffe® Chocolate,unidade,6,22,151
"Bambu, brotos de",pires de chá,10,0,3
Banana à milanesa,unidade média,100,24,185
Banana caramelada,unidade média,50,29,114
Banana frita da terra,fatia media,31,10,68
Banana pacova madura cozida sem casca,colher de sopa cheia,35,12,48
Banana pacova madura frita (picada),colher de sopa cheia,35,18,96
Banana pacova madura in natura (picada),colher de sopa cheia,30,11,45
Banana pacova verde frita,colher de sopa cheia,35,30,138
Banana-caturra ou Nanica,unidade média,86,20,79
Bananada,unidade media,40,27,115
Banana-da-terra crua,unidade grande,100,27,117
Banana-maçã,unidade média,65,15,72
Banana-ouro,unidade pequena,40,9,42
Banana-prata crua,unidade média,50,13,49
Banha de porco,colher de sopa cheia,10,0,90
"Barra de Cereal Diet Linea® Avela, Castanha e
Chocolate",unidade,25,17,75
Barra de cereal Diet Linea® banana com aveia,unidade,25,18,65
Batata (Baked Potato®),unidade,470,83,369
Batata doce frita,fatia media,65,39,249
Batata frita (Bob’s®),porção grande,115,41,259
Batata frita (Bob’s®),porção média,95,34,214
Batata frita (Bob’s®),porção pequena,55,20,124
Batata frita (Burguer King®),porção,,37,318
Batata frita (Habib’s®),porção pequena,40,10,86
Batata frita chips,punhado,13,6,70
Batata fritas (Mc’ Donalds®),porção pequena,,25,206
Batata fritas (Mc’ Donalds®),porção média,,35,288
Batata fritas (Mc’ Donalds®),porção grande,,49,412
Batata fritas McFritas Kids (Mc’ Donalds®),porção,,11,87
Batata inglesa cozida,"colher de sopa cheia
picada",80,6,68
Batata inglesa fritta®,escumadeira media cheia,65,23,182
Batata inglesa Saute®,colher de sopa cheia,25,4,37
Batata smiles Mccain®,01 unidade,21,7,42
"Batata, amido de",colher de sopa cheia,16,13,53
"Batata, fécula de",colher de sopa cheia,20,16,66
Batata-baroa ou mandioquinha (picada),colher de sopa cheia,35,10,44
Batata-doce amarela assada (picada),colher de sopa cheia,30,10,43
Batata-doce branca cozida (picada),colher de sopa cheia,30,8,38
Batata-doce cozida,colher sopa cheia,42,10,43
"Batata-doce, doce de",colher de sopa cheia,40,24,94
Baton (chocolate ao leite Garoto®),unidade,16,9,86
Beijinho,unidade média,25,11,105
Beijinho,unidade pequena,6,3,25
Beijinho diet,unidade pequena,6,2,20
Beijinho-de-coco Nestle®,colher de sopa,20,11,63
Beiju,unidade media,100,87,359
Beiju com Coco,unidade grande,125,77,622
Beiju de queijo com manteiga,unidade média,150,87,518
Beirute Habib’s®,unidade,415,51,714
Bekleua,1 porção,100,20,290
Bem casado,01 unidade,40,25,160
Bergamota ou Mexerica,unidade grande,100,15,58
Berinjela cozida sem sal,colher de sopa cheia,25,2,8
Berinjela frita,rodela média,13,1,10
Beterraba cozida (picada),colher de sopa cheia,20,2,9
Beterraba crua,colher de sopa cheia,16,1,7
Bib’s dog (Habib’s®),unidade,105,21,246
Bib’s salad (Habib’s®),unidade,300,36,209
Bife à milanesa,unidade pequena,80,8,230
Bife de boi,unidade média,100,0,228
Bife de fígado,unidade média,100,6,216
Bife Role,unidade grande,150,4,268
Big Bob picanha 100g (Bob’s®),unidade,235,35,513
Big Bob picanha 200g (Bob’s®),unidade,344,38,728
Big king (Burguer King®),unidade,,31,555
Big tasty (Mc’ Donalds®),unidade,,43,841
Biscoito de água e sal,unidade,8,5,34
Biscoito de aveia e mel Nestle®,unidade,6,4,26
Biscoito de polvilho (rosquinha),unidade,3,2,13
Biscoito de queijo,unidade,12,6,51
Biscoito leite Nestlé®,unidade,8,5,38
Biscoito maisena Nestlé®,unidade,5,4,22
Biscoito maria Nestlé®,unidade,6,4,26
Biscoito milho verde Nestlé®,unidade,6,4,27
Biscoito passatempo® sem recheio,unidade,6,4,22
Biscoito prestígio recheado São Luiz Nestlé®,unidade,15,10,71
Biscoito prestígio® wafer Nestlé®,unidade,8,5,43
Biscoito recheado chocolate,unidade,13,9,62
Biscoito salclic aperitivo São Luiz Nestle®,unidade,5,3,24
Biscoito salgado integral gergelim Piraquê®,unidade,"7,5",5,38
Biscoito suíço creme de avelã São Luiz Nestlé®,unidade,13,7,73
Biscoito tipo cookies Baunilha Toddy®,unidade,10,6,46
Biscoito tostines cream cracker São Luiz Nestlé®,unidade,8,5,37
Biscoito tostines® leite,unidade,8,6,37
Biscoito tostines® recheado Chocolate,unidade,13,9,64
Biscoito tostines® surpresa fun,unidade,8,6,37
Biscoito tostines® wafer chocolate,unidade,8,5,42
Biscoitos de farinha integral,unidade,10,7,40
Biscoitos de glúten a 40%,unidade,10,3,29
Biscoitos de glúten puro,unidade,10,8,35
Bisnaguinha Seven Boys®,unidade,20,11,62
BKTM batata suprema (Burguer King®),porção,,59,604
BKTM cheddar duplo (Burguer King®),unidade,,54,660
BKTM chicken crisp (Burguer King®),unidade,,68,667
BKTM chicken crisp furioso (Burguer King®),unidade,,80,930
BKTM chicken sandwich (Burguer King®),unidade,,53,609
BKTM fish (Burguer King®),unidade,,63,573
BKTM grilled chicken (Burguer King®),unidade,,56,508
BKTM nuggets (Burguer King®),porção,,12,148
BKTM pepperoni (Burguer King®),unidade,,30,270
BKTM picanha (Burguer King®),unidade,,53,922
BKTM stacker triplo com bacon (Burguer King®),unidade,,35,1529
Blis Frutas Vermelhas,unidade,180,29,158
Bliss morango,unidade,200,31,168
Bob’s crispy (Bob’s®),unidade,251,48,641
Bob’s picanha gourmet 100g (Bob’s®),unidade,258,35,480
Bob’s picanha gourmet 200g (Bob’s®),unidade,373,36,727
Bolacha de nata Panco®,unidade,5,4,22
Bolacha sabor mais morango Trakinas®,unidade,12,8,61
Bolinha de queijo,unidade pequena,10,3,27
Bolinho de aipim com carne seca,unidade média,45,12,86
Bolinho de arroz,unidade,40,20,164
Bolinho de bacalhau,unidade media,15,3,42
Bolinho de bacalhau (Habib’s®),unidade,30,5,87
Bolinho de carne,unidade,50,8,67
Bolinho de chuva,unidade pequena,30,13,81
Bolinho de estudante (Bolinho Ana Maria®),unidade média,80,49,292
Bolinho de Presunto e Queijo,unidade,50,12,73
"Bolinho de soja tipo salsicha 350g (Ta’amti) -
Albee®",4 unidades,90,28,232
Bolo alemão,fatia,60,30,227
Bolo branco simples,fatia média,100,55,318
Bolo de aipim com coco,fatia media,80,37,243
Bolo de arroz,fatia média,70,39,197
Bolo de banana,fatia média,70,33,211
Bolo de batata-doce,fatia média,90,43,292
Bolo de Brigadeiro,fatia pequena,50,20,147
Bolo de brigadeiro (festa) Amor aos Pedaços®,fatia pequena,60,33,211
Bolo de casamento,01 fatia pequena,75,42,285
Bolo de cenoura,fatia média,60,38,227
Bolo de cenoura com chocolate Dr. Otcker®,fatia média,60,38,227
Bolo de chocolate (recheio/cobertura),fatia média,100,54,320
Bolo de Chocolate e Nozes,fatia pequena,50,17,175
Bolo de chocolate sem glacê,fatia média,60,34,306
Bolo de festa (recheio/cobertura),fatia média,100,54,320
Bolo de festa diet (recheio/cobertura),fatia média,80,20,220
Bolo de fubá,fatia média,50,20,160
Bolo de limão,fatia média,60,37,233
Bolo de mandioca (aipim),pedaço grande,100,48,324
Bolo de milho,fatia,100,54,290
Bolo de nozes,fatia média,50,28,200
Bolo Floresta Negra com Morango,fatia pequena,50,10,106
Bolo Merengue,fatia peqquena,50,11,116
Bolo Mousse de Chocolate,fatia pequena,50,20,173
Bolo mousse de chocolate Amor aos Pedaços®,fatia pequena,60,23,185
Bolo simples,fatia média,60,33,263
Bombom Alpino,unidade,13,8,70
Bombom banana Caribe Garoto®,unidade,17,12,65
Bombom bopinho de torrone,unidade,10,6,54
Bombom charge Nestlé®,unidade,40,24,187
Bombom Copinho de Torrone,unidade,10,6,54
Bombom de Brigadeiro,unidade,10,6,48
Bombom diet Cacau Show®,unidade,13,7,56
Bombom Ferrero Rocher®,unidade,12,6,72
Bombom It coco Garoto®,unidade,17,11,80
Bombom Ouro Branco®,unidade,22,13,117
Bombom prestígio Nestle®,unidade,33,21,154
Bombom Sonho de Valsa®,unidade,22,13,113
Bombom Trufa de Cereja,unidade,10,6,45
Bombom truffa de creme de cereja Cacau Show®,unidade,25,12,123
Brezel (Pretzel),17 unidades pequenos,28,23,110
Brigadeiro,01 unidade médio,30,16,103
Brigadeiro de Flocos,unidade,15,9,60
Brigadeiro de Morango,unidade,15,9,60
Broa de Milho,unidade,50,25,128
Brócolis com cottage (Baked Potato®),concha,80,3,31
Brócolis cozido (picado),colher de sopa cheia,10,0,4
Cacau em pó Mae Terra®,colher de sopa cheia,10,3,31
Cachorro-quente (média),unidade,125,31,330
Café com leite sem açúcar,xícara de chá cheia,200,7,88
Café infusão 10%,xicara de café,50,1,4
Café solúvel pó,colher de sopa cheia,4,1,6
Caipirinha sem açúcar,copo,200,54,436
Cajá manga,unidade grande,75,9,38
Cajá polpa congelada,porção,100,12,46
Cajá-umbu,unidade media,22,2,10
Cajú,unidade grande,100,10,43
Caju polpa congelada,porção,100,12,46
"Caju, suco concentrado",copo duplo cheio,240,25,108
Cajuzinho,unidade pequena,12,6,44
Calda de chocolate,colher de sopa,10,5,31
Caldo de carne Knorr®,unidade,9,2,24
Caldo de galinha Knorr®,unidade,9,1,24
Caldo verde,concha média cheia,130,7,79
Caldo-de-cana,copo duplo,240,49,201
Camarão (Baked Potato®),concha,90,0,42
Camarão cozido,unidade grande,30,0,27
Camarão cozido,colher de sopa,20,0,18
Camarão frito,colher de sopa,20,0,37
Camarão grande cru,unidade,30,0,25
Camembert (Baked Potato®),4 fatias,60,0,188
Camu-camu,6 unidades,48,3,15
Canapé de capaccio,01 torrada,3,2,20
Canela em pau Kitano®,unidade,2,1,5
Canelone de frango,unidade média,45,9,87
Canelone de ricota,unidade média,30,7,74
Canja de galinha,concha média cheia,130,12,110
Canjica pronta,colher de sopa cheia,25,5,29
Capelete de carne Frescarini®,escumadeira,50,26,141
Capelete de frango Frescarini®,escumadeira,50,26,140
Cappuccino classic 3 corações® po,2 colheres de sopa,20,14,84
Cappuccino classic diet 3 corações® pó,2 colheres de sopa,14,6,66
Caqui,unidade média,110,22,95
Cará cozido,"colher de sopa cheia
picado",35,7,28
Carambola,unidade grande,100,11,46
Caranguejo cozido,porção,100,0,83
Carne assada,pedaco medio,90,0,259
"Carne bovina, acem, moído, cru",colher de sopa cheia,25,0,49
"Carne bovina, costela assada",pedaço médio,100,0,373
"Carne bovina, picanha, com gordura, grelhada",pedaço médio,100,0,289
Carne com chilli (Baked Potato®),concha,65,28,98
Carne de bezerro,porção,100,0,115
Carne de boi moída,colher de sopa cheia,25,0,49
"Carne de boi, lagarto cozido",fatia média,100,0,222
"Carne de boi, maminha",filé médio,100,0,199
"Carne de boi, paleta",porção,100,0,307
"Carne de boi, paleta cozida",filé médio,100,0,194
"Carne de boi, picanha (Friboi®)",porção,100,"1,9",323
Carne de cabrito magra,pedaço médio,100,0,179
Carne de cordeiro magra,pedaço médio,100,0,162
"Carne de porco, lombo assado",pedaço médio,100,0,210
"Carne de vaca, maminha",porção,100,0,159
Carne ensopada com legumes,colher sopa cheia,35,3,57
Carne vegetal (de soja),colher de sopa cheia,25,2,29
Carpa assada,filé médio,100,0,110
Carpaccio de Haddock,fatia média,15,0,17
Carpaccio de salmão,fatia média,15,0,21
Caruru (hortaliça crua picada),colher de sopa cheia,25,2,9
Caruru (prato baiano),colher de sopa,30,1,64
Casquinha de siri,unidade,55,1,92
Castanha de caju,01 unidade média,3,1,13
Castanha de pequi,unidade média,14,3,12
Castanha do pará,01 unidade média,6,1,42
Castanha portuguesa,01 unidade,10,5,21
Catchup,colher de sopa cheia,15,4,15
Catupiry,fatia média,35,0,88
CBO (Mc’Donalds®),unidade,,56,665
Cebola picada,colher de sopa cheia,10,1,4
Cebolinha crua (picada),colher de sopa cheia,8,0,2
Cenoura cozida,colher de sopa cheia,25,2,8
Cenoura crua ralada,colher de sopa cheia,12,1,4
Cenouritas (Mc’ Donalds®),porção,70,3,18
"Centeio, farinha clara de",xícara,102,79,355
"Cereal barra Nestlé® banana, aveia e mel",unidade,20,11,64
Cereal barra Nutry® coco com chocolate,unidade,22,16,90
Cereal barra Trio® light morango com chocolate,unidade,20,15,78
Cereal de arroz e milho Nestlé®,colher de sopa,7,6,27
Cereal infantil 3 cereais Nestlé®,colher de sopa,7,5,29
Cereal infantil 3 frutas Nestlé®,colher de sopa,7,6,27
Cereal matinal chocokrispis Kellogg’s®,3/4 de xícara,30,25,110
Cereal matinal all bran Kellogg’s®,3/4 de xícara,40,18,108
Cereal matinal corn flakes Kellogg’s®,1 xícara,30,24,108
Cereal matinal crunch Nestlé®,3/4 xícara,30,23,120
Cereal matinal Kellness® granola tradicional,1/2 xícara,40,27,147
Cereja em conserva,unidade,5,2,8
Cereja fresca,unidade,4,1,4
Cerveja,lata,350,12,143
"Cevada, infuso de",xícara de chá cheia,200,5,24
Chá mate (infusão sem açúcar),xícara de chá cheia,200,1,6
Chá sem açúcar (média),xícara de chá cheia,200,1,4
Chambinho,unidade,45,4,40
Champanhe,taça,100,3,82
Champanhe tipo sidra,taça,100,3,82
Champignon (Backed Potato®),concha,60,1,6
Champignon (conserva),colher de sopa,10,0,2
Chandelle chocolate,unidade,75,18,151
Chantilly,colher de sopa,20,4,60
Charutinho de folha de uva,porcao,100,3,99
Charutinho de repolho,porcao,100,2,67
Charuto folha de uva Habib’s®,porção,245,19,263
Charuto repolho Habib’s®,porção,285,23,295
Cheddar McMelt (Mc’ Donalds®),unidade,,29,481
Cheeseburger,unidade,140,40,358
Cheeseburguer (Bob’s®),unidade,120,30,329
Cheeseburguer (Burguer King®),unidade,116,32,280
Cheeseburguer (Mc’ Donalds®),unidade,,30,295
Cheeseburguer com bacon (Burguer King®),unidade,119,32,310
Cheeseburguer duplo com bacon (Burguer King®),unidade,160,32,440
Cheesecake com Mirtilo® (sorvete),01 bola,60,18,140
Cheetos sabor natural,1 e 1/2 xícara,25,17,121
Chester,fatia,15,0,31
Chicken bacon crispy McWrap (Mc’ Donalds®),unidade,249,54,565
Chicken bacon grilled McWrap (Mc’ Donalds®),unidade,235,32,440
Chicken classic crispy Sandwich (Mc’ Donalds®),unidade,,55,510
Chicken Junior Sandwich (Mc’ Donalds®),unidade,,38,380
Chiclete,unidade,5,4,16
Chiclete sabor sortido Bubbaloo®,unidade,5,4,16
Chiclete Trident® tuti-frutti,unidade,2,1,3
Chicória refogada,colher de sopa,45,3,39
Chimarrão,cuia média,200,0,12
Chocolate alpino diet Nestlé®,unidade,30,17,143
Chocolate ao leite,barra pequena,30,18,160
Chocolate ao leite diet,barra pequena,30,13,157
Chocolate ao leite diet Gold®,unidade,25,14,122
Chocolate Batom®,unidade,16,10,86
Chocolate Bis®,unidade,7,5,37
Chocolate Classic Zero açúcar,1 unidade,22,8,94
Chocolate Diamante Negro®,barra pequena,30,19,156
Chocolate em pó,colher de sopa,15,9,52
Chocolate Ferrero Rocher®,unidade,13,6,71
Chocolate quente com leite (Mc’ Donalds®),copo grande,250,24,178
Chocolate Suflair®,unidade,30,15,132
Chocolate Talento®,1/4 barra,25,13,137
Chocolate Talento® diet,barra pequena,25,12,129
Chocotone Bauducco®,01 fatia pequena,100,49,396
Chopp escuro,tulipa,290,11,148
Chouriço,gomo,60,1,227
Chuchu à milanesa,fatia média,70,10,127
Chuchu ao molho branco,colher de sopa cheia,30,3,28
Chucrute,xícara,120,5,24
Churros com doce de leite,unidade aperitivo,30,13,97
Cidra,porção,100,10,40
Ciriguela,unidade,20,4,15
Coalhada integral Itambé®,pote,130,17,120
Coalhada seca natural Alibey®,colher de sopa,15,1,19
Cobertura de chocolate ao leite Garoto®,colher de sopa cheia,25,14,140
Coca-Cola®,copo,200,20,80
